id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1503209780982300676,2022-03-13 22:21:54 Central Daylight Time,nfl_memes,1537,21,221,en,Tom Brady after retiring for two months to spend time family  https://t.co/3ONpP2Gg2C,[]
1503205913225842688,2022-03-13 22:06:32 Central Daylight Time,nfl_memes,1485,25,155,en,"Tom Brady retired and saw Russell Wilson leave the NFC, his division basically become the worst in the NFL, the Cowboys trade their best WR and Aaron Rodgers return to Green Bay just to choke in the playoffs again and said.. “Yeah, I’m back.”  https://t.co/7yCRZDn55e",[]
1503194230818148353,2022-03-13 21:20:07 Central Daylight Time,nfl,2029,91,290,en,Heading into year 23 and he's still looking as good as ever. More of this from @TomBrady 🔜  https://t.co/nbcYFMrMzR,[]
1503191715527733252,2022-03-13 21:10:07 Central Daylight Time,annieagar,2965,76,262,en,Things that last longer than Tom Brady’s retirement:  - the MLB lockout - Pete Davidson in bed with Kim K - The new Batman movie - Big Ben running a QB draw - Antonio Brown getting off a field  - Urban Meyer coaching in the NFL,[]
1503187263936684039,2022-03-13 20:52:26 Central Daylight Time,nfloncbs,1169,19,147,en,"Sam Howell, a QB in this year's NFL Draft class, WASN'T EVEN BORN when Tom Brady was drafted.  https://t.co/nL131OrEOS",[]
1503186327747104771,2022-03-13 20:48:43 Central Daylight Time,adamschefter,3747,152,346,en,Buccaneers’ statement on the return of Tom Brady:  https://t.co/Dg5ZIPdSqz,[]
1503183367424016384,2022-03-13 20:36:57 Central Daylight Time,simpsonitomx,1232,19,133,es,"El coleccionista que compró ""el último balón de Tom Brady"" cuando vio el anuncio de su regreso:   https://t.co/ZQidSaihWj",[]
1503182153412132870,2022-03-13 20:32:07 Central Daylight Time,mysportsupdate,2890,57,199,en,"Former #Bucs Pro Bowl G Ali Marpet, who retired two weeks ago today, told @TKras that he will not unretire despite Tom Brady returning.   So Brady is back, Marpet staying away.",['bucs']
1503180418451124226,2022-03-13 20:25:14 Central Daylight Time,stableronaldo,1771,43,13,en,Tom Brady actually came back cause of my text I sent him that’s crazy,[]
1503178434482262018,2022-03-13 20:17:21 Central Daylight Time,bridgetmoynahan,1827,40,120,en,"Thank God, I had no idea what I was going to do with my Sundays.  Congratulations @TomBrady, so proud of you!  https://t.co/FKiMBuVFMi",[]
