id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1376655960249401347,2021-03-29 17:02:12 Central Daylight Time,giorgospap_96,313,4,22,el,"Ηλία, άσε τα 2 υπέρπαλτα να γαβγίζουν.   Εισαι ο νικητής και δεν το ξέρεις.   Ειναι καταγεγραμμένο 😉  #team_SpiderMan #survivorGR  https://t.co/aXlWOmpqum","['team_spiderman', 'survivorgr']"
1376608534088024068,2021-03-29 13:53:45 Central Daylight Time,gastonreyno,214,22,30,es,Termina ganando Spiderman con un Superman punch a Batman y Robin🤪🕷🦇  https://t.co/enH8TJu1pB,[]
1376603337437675524,2021-03-29 13:33:06 Central Daylight Time,shirogane__sama,9071,26,702,en,Weaves a spiderweb 🕸   Only 3 days left to receive my full Gwen photoshoot 🔥  #Gwen #GwenStacy #spidergwen #spiderman #cosplay  https://t.co/hTuqSf6k4c,"['gwen', 'gwenstacy', 'spidergwen', 'spiderman', 'cosplay']"
1376599730575269896,2021-03-29 13:18:46 Central Daylight Time,alpaslanbegg,144,0,22,tr,birbirini işaret eden spiderman görseli jpeg  https://t.co/uwFQHPGJ4o,[]
1376579927508672514,2021-03-29 12:00:04 Central Daylight Time,ibancoellosoria,1697,19,280,en,"Because I can't show too much of my current work, here are some old Spidey drawings(The second one is 9 years old!) . I never get tired of drawing him! #spiderman #marvel #benreilly  https://t.co/PJzTsLd1tq","['spiderman', 'marvel', 'benreilly']"
1376442817006989314,2021-03-29 02:55:15 Central Daylight Time,i_zzzzzz,213,2,6,en,My novel begins as the world is mourning the death of Spiderman. It's a rainy day in Seattle and the main character is driving across the Spiderman Memorial Bridge,[]
1376375888611323904,2021-03-28 22:29:18 Central Daylight Time,muthaeffin,260,2,7,en,@ThisAintLexOng @NotAdamAtAll Over Spiderman???  https://t.co/DQoY9DMrSS,[]
1376353874521505792,2021-03-28 21:01:49 Central Daylight Time,bioreconstruct,300,0,26,en,Spiderman at construction of Islands of Adventure.  A photo in the Universal Legacy Store.  https://t.co/BSqYiXAKae,[]
1376316246908604419,2021-03-28 18:32:18 Central Daylight Time,pterprk,139,12,13,es,"las tom stan son tan ""JAHSAKAHSI NO PUEDO"" que no podes? no poder aceptar que la era de spiderman terminó?  https://t.co/rJXh4RIT6q",[]
1376286270385750017,2021-03-28 16:33:11 Central Daylight Time,dreamjeons,24826,92,4718,en,fun fact : jungkook is actually spiderman  https://t.co/EAZDdZWYvA,[]
