id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1498085083042910212,2022-02-27 17:58:11 Central Standard Time,sylkidaya,124,11,45,en,#SpiderMan — tom holland  https://t.co/GAghOD1diA,['spiderman']
1498079722923642888,2022-02-27 17:36:53 Central Standard Time,youiki_media,372,7,38,ja,ヴェノム・ストライク  #オモ写 #toyphotography  #SpiderMan #Marvel #ウソみたいだろおもちゃなんだぜそれで  https://t.co/jdIO3lSA51,"['オモ写', 'toyphotography', 'spiderman', 'marvel', 'ウソみたいだろおもちゃなんだぜそれで']"
1498076987981647874,2022-02-27 17:26:01 Central Standard Time,nakoo,1576,33,11,es,"Tenemos todo el split free en grands, sale un top 3 w mi hermano el Spiderman 🕸🕸🕷🕷",[]
1498066567879344132,2022-02-27 16:44:37 Central Standard Time,sniktcast,236,5,24,und,#SpiderMan #Inhumans #70sMarvel  https://t.co/tq6P2SKM10,"['spiderman', 'inhumans', '70smarvel']"
1498057412028387330,2022-02-27 16:08:14 Central Standard Time,sisipaname,267,7,18,fr,J’crois la réelle star du meet up c’était Spiderman 🤣 #spidermeetup #poupettekenza  https://t.co/VTUMarjbRz,"['spidermeetup', 'poupettekenza']"
1498053285160398852,2022-02-27 15:51:50 Central Standard Time,janecoaston,111,2,2,en,"Granted, I am also a sinner before God saved, so there's a real spiderman pointing at spiderman vibe here",[]
1498051510793490433,2022-02-27 15:44:47 Central Standard Time,nrxcci,115,2,14,es,Se necesita un boliche +21 porque estoy cansado de ver pendejos con remeras de spiderman haciéndose los mamados en la pista con una latita de speed,[]
1498050882746949638,2022-02-27 15:42:17 Central Standard Time,brandondavisbd,161,1,12,en,"We had a fun @PhaseZeroCB episode this week, reacting to the #SpiderMan footage and #Thor merch reveals! MCU stuffs!!  Download &amp; subscribe: Apple:  https://t.co/JTuu8bLekA Spotify:  https://t.co/azu7FUHRQ1  https://t.co/OWKSyctHGJ","['spiderman', 'thor']"
1498048852640899086,2022-02-27 15:34:13 Central Standard Time,spdrmnkyxxiii,334,6,60,en,OG MCU. Thumbnail art I did for my man @DocFlashpoint   #Avengers2000 #Avengers #Civilwar #ultimatealliance #Marvel #MarvelStudios #Spiderman #xmen #fantasticfour #Ghostrider #Thehulk #Daredevil #Blade  https://t.co/fRKHRZfVVM,"['avengers2000', 'avengers', 'civilwar', 'ultimatealliance', 'marvel', 'marvelstudios', 'spiderman', 'xmen', 'fantasticfour', 'ghostrider', 'thehulk', 'daredevil', 'blade']"
1498043951567282179,2022-02-27 15:14:45 Central Standard Time,aranhaversobr,304,8,39,pt,📸 | O Espetacular Homem-Aranha (2012)  · 4K ' | #SpiderMan     https://t.co/hcIxerHWL9,['spiderman']
1498043239496142848,2022-02-27 15:11:55 Central Standard Time,scoldzfn,94,22,7,en,24th Solo Cash Cup ($250) No Spiderman  https://t.co/CGXv9705w2,[]
1498043206168195081,2022-02-27 15:11:47 Central Standard Time,tkaylol,620,39,9,en,9th ($350) I didn't play my best without spiderman  https://t.co/JfjOU9i1X1,[]
1498042620416823300,2022-02-27 15:09:27 Central Standard Time,mcu_direct,3387,20,223,en,"Andrew Garfield says that ""Tom's a really bad liar"" when he tries to hide #SpiderMan spoilers: ""God bless him. I love you, Tom. Never change, never change..."" Video &amp; details:  https://t.co/NUsslCg5tk  https://t.co/4utDegnFHz",['spiderman']
1498038706808233999,2022-02-27 14:53:54 Central Standard Time,tobey_mcu,928,18,75,fr,"A l’époque de Spider-Man 3, Sam Raimi nous proposait des effets spéciaux qui étaient magnifique ! Alors imaginez si il fait un Spider-Man 4 de nos jours… ça serait incroyable 🔥 #MakeRaimiSpiderMan4 #SpiderMan  https://t.co/qMcJ1Ey4l4","['makeraimispiderman4', 'spiderman']"
1498030716139053065,2022-02-27 14:22:09 Central Standard Time,danny_vfr,83,0,3,es,Asta Spiderman viene al comedia..  https://t.co/xNMppJ6L7S,[]
1498030435128905730,2022-02-27 14:21:02 Central Standard Time,giugabs,2272,18,395,en,Some drawing I did for @sonicsong182's Valentines video &gt;w&lt; Really happy to collaborate! The Spiderman kiss xD 🤍💜 Enjoy!  💜 silvaze 🤍  https://t.co/NW1I1eYbPS,[]
1498025000787398662,2022-02-27 13:59:26 Central Standard Time,gunlukfriends,8667,19,52,tr,"Tom Holland’ın ikonik #SpiderMan paylaşımı 22 milyon beğeni alarak, Jennifer Aniston’ın yaklaşık 17 milyon beğeni alan #FriendsReunion rekorunu geride bıraktı.  https://t.co/m4tu3APaDI","['spiderman', 'friendsreunion']"
1498014716337147905,2022-02-27 13:18:34 Central Standard Time,unostalgia4,214,4,31,en,My Favorite Eye Shots #Cyborg #ScarletWitch #SpiderMan #Hulk #ZackSnyder #SamRaimi #MarcWebb #AngLee  https://t.co/XFr7WuRbOi,"['cyborg', 'scarletwitch', 'spiderman', 'hulk', 'zacksnyder', 'samraimi', 'marcwebb', 'anglee']"
1498011324219109388,2022-02-27 13:05:06 Central Standard Time,ilvstimmy,122,1,22,es,"quien no quiere un tom holland en su vida es inteligente, trabajador, talentoso, le gustan los animales, gracioso, familiero, lindo, británico, se viste bien, sin masculinidad frágil, es spiderman, etc etc lo tiene TODO",[]
1498005896651153410,2022-02-27 12:43:32 Central Standard Time,thealexrossart,506,1,62,und,#SpiderManNoWayHome #SpiderMan #SundayMorning @SalAbbinanti  https://t.co/xWeTOAU9Bs,"['spidermannowayhome', 'spiderman', 'sundaymorning']"
