id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1376316246908604419,2021-03-28 18:32:18 Central Daylight Time,pterprk,139,12,13,es,"las tom stan son tan ""JAHSAKAHSI NO PUEDO"" que no podes? no poder aceptar que la era de spiderman terminó?  https://t.co/rJXh4RIT6q",[]
1376286270385750017,2021-03-28 16:33:11 Central Daylight Time,dreamjeons,24826,92,4718,en,fun fact : jungkook is actually spiderman  https://t.co/EAZDdZWYvA,[]
1376263943623217161,2021-03-28 15:04:28 Central Daylight Time,messtor,1862,21,351,es,jean mary no era que si la novia de spiderman no entiendo,[]
1376216976364871684,2021-03-28 11:57:50 Central Daylight Time,kabelodick,345,16,12,en,"@NkosinatiMagwa 🤣🤣🤣🤣🤣🤣🤣🤣🤣Some pple must start being script writers, seriously their imaginations are wild enough to compete with the likes of spiderman and all the other movies.  https://t.co/alBuHd6Nnm",[]
1376199610687844352,2021-03-28 10:48:50 Central Daylight Time,hoshzone,7655,0,2414,en,is this why he was doing a spiderman pose in these photos ...............  https://t.co/iMWTyHc5tN,[]
1376194738030841862,2021-03-28 10:29:28 Central Daylight Time,fbiodiversidad,1344,25,401,es,"El Agama Mwanzae o lagarto spiderman, como se conoce popularmente, es un reptil oriundo de Kenia, Ruanda y Tanzania.  Tiene escamas azules y rojas que le dan un curioso parecido con el superhéroe de Marvel 🦸‍♂️  https://t.co/TAoCPFHym2",[]
1376140562928033792,2021-03-28 06:54:12 Central Daylight Time,bhawnakohli5,1574,8,91,en,"Lots of respect for Rishabh Pant gained weight during lockdown, guess didn't work out much at that time, average Ipl season, lost his spot in series against Australia in first half but 4 months later, he ended as the best Indian batsman of the season. Take a bow, Spiderman.",[]
1375951657893298183,2021-03-27 18:23:33 Central Daylight Time,skitttlz,887,62,8,en,Spiderman,[]
1375950783137640450,2021-03-27 18:20:05 Central Daylight Time,fzztjemma,344,8,54,en,Lil's cameo in No Way Home is Jemma falling into a pool in front of Spiderman,[]
1375897927244247054,2021-03-27 14:50:03 Central Daylight Time,skyedaisy_quake,613,9,70,en,Spiderman: filming in Atlanta Elizabeth Henstridge: spotted in Atlanta  Chloe Bennet: in Atlanta *supposedly* just for Powerpuff Girls... DAISY AND JEMMA RETURNING: CONFIRMED Me: clowning  https://t.co/9V0fqCQrg3,[]
