id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1503194132717752326,2022-03-13 21:19:43 Central Daylight Time,yfer7_,686,16,21,pt,PUGA VIROU O SUPERMAN CUZAO  https://t.co/OvqqX0XJK9,[]
1503169982649229315,2022-03-13 19:43:46 Central Daylight Time,nacao_dc,183,3,10,pt,"Não sei se estou vivendo ou apenas esperando o lançamento de ""My aventures with The Superman""  Essa série vai ser linda ❤️  https://t.co/pAEWpbTBwM",[]
1503164753589460998,2022-03-13 19:22:59 Central Daylight Time,nerdrotics,682,70,26,en,Superman didn't fit in the studio. Mrs. Nerdrotic is thrilled  https://t.co/tnFFXpQ1L9,[]
1503159974612058123,2022-03-13 19:03:59 Central Daylight Time,animatedjl,121,0,17,en,"Superman: What do you think?  Lois Lane: A picnic? I suppose your high school sweetheart loved this kind of cornball stuff.  Superman: As a matter of fact, she did.   Question Authority #JLReunion  https://t.co/ApB8v5nx4K",['jlreunion']
1503140165262344195,2022-03-13 17:45:17 Central Daylight Time,iniciativav,363,17,22,es,"Aburridisima, pretenciosa y sobresaturada de tramas innecesarias. Finge ser ""madura"" para ocultar un pésimo guión. Su desenlace es súper flojo. Te cansas apenas comienza.  Esa es mí opinión de 'Batman vs Superman'.   Por cierto, #TheBatman está en cines y es tremenda 😍  https://t.co/kQgIwmAMgk",['thebatman']
1503140092134756364,2022-03-13 17:44:59 Central Daylight Time,neverknewlane,137,0,27,und,#JusticeLeague #dccomics #sundayvibes #fanart #Batman #Superman #WonderWoman  https://t.co/joJ8AEdexk,"['justiceleague', 'dccomics', 'sundayvibes', 'fanart', 'batman', 'superman', 'wonderwoman']"
1503123910820339717,2022-03-13 16:40:41 Central Daylight Time,lady_le_fay,122,7,18,en,The year is 2022 and Man of Steel (2013) is still the best Superman movie we've ever gotten.  https://t.co/86K9kIxm5g,[]
1503117479761092615,2022-03-13 16:15:08 Central Daylight Time,dr_fleibur,142,5,3,es,Esta película es increíble porque luego Superman se besa con Lois sobre las cenizas de una ciudad de un desastre equivalente a setenta onces de septiembre.,[]
1503110586300723201,2022-03-13 15:47:44 Central Daylight Time,editsbienfeos,1332,10,137,es,Como olvidar cuando Alfred le dio una batimadriza al Superman de Injustice  https://t.co/qdpKZSNRk0,[]
1503098025337450498,2022-03-13 14:57:50 Central Daylight Time,darthwebhead,378,2,31,en,“I can’t relate to Superman because he’s too powerful” I for one find that to be his most relatable quality  https://t.co/VAfn9uUZIt,[]
1503094178619793410,2022-03-13 14:42:32 Central Daylight Time,universodcnauta,441,11,19,pt,"Adão Negro lança em Outubro. Shazam! 2 em Dezembro.  Se eles organizarem direitinho, já deixam preparado um filme do Adão vs Shazam e Superman.  https://t.co/Bsat2P41eD",[]
1503089744154181636,2022-03-13 14:24:55 Central Daylight Time,beebinout,290,3,13,en,superman only weakness is a rock from his own planet so he really jus a crack baby 💀,[]
1503079721273331713,2022-03-13 13:45:06 Central Daylight Time,blkcomictwit,1545,34,254,en,"Y’all favorite Superhero wouldn’t exist without Superman, let’s start there  https://t.co/DyKz3bcW8h",[]
1503077881135702029,2022-03-13 13:37:47 Central Daylight Time,laeufe,402,12,90,es,Comparar a Keanu Reeves con el Boric es como comparar a superman con supercalzoncillos. 😆,[]
1503067153548906507,2022-03-13 12:55:09 Central Daylight Time,bundesliga_en,134,4,14,en,ERLING. HAALAND. IS. 𝑩𝑨𝑪𝑲.   Marco Rose subs the Norwegian superman on for @BlackYellow. 🔁 💪,[]
1503067082862309379,2022-03-13 12:54:52 Central Daylight Time,benjisales,199,8,8,en,How #TheBatman awesome 50.7% 2nd Weekend Hold compares to other recent Batman performances  2nd Weekend Drop % • Batman Begins - 43.4% • The Batman - 50.7% • the Dark Knight - 52.5% • The Dark Knight Rises - 61.4% • Batman and Robin - 63.3% • Batman v Superman - 69.1%  https://t.co/RDiuT2djAc,['thebatman']
1503063797749018626,2022-03-13 12:41:49 Central Daylight Time,kspscinemas_,292,1,136,en,@AKS_MEME @Superman_OFFL @RamCinemas @CinemaPerison @SBKTalkies #Valimai 💯 Successfully Movie At #KSPSCINEMAS,"['valimai', 'kspscinemas']"
1503061764660994050,2022-03-13 12:33:44 Central Daylight Time,darkdefective,224,1,1,en,"@pabloelsenpai @draws_henry @lilpulm_ @kirawontmiss Superman enjoyers get the most bitches, don’t ask me for any stats I made it up",[]
1503059533685481480,2022-03-13 12:24:52 Central Daylight Time,awakenmillion1,206,8,42,en,@ZelenskyyUa @ZuzanaCaputova @KlausIohannis We used to watch movies of Superman but indeed Mr president @ZelenskyyUa you have proved that to our generation u are the Real SUPERMAN who has stood with his people till now even though your enemy is very equipp you have equipped Ukrainian with bravest Hearts. #StandWithUkraine  https://t.co/Lh2ud7fy1p,['standwithukraine']
1503056823301062656,2022-03-13 12:14:06 Central Daylight Time,thatmovieguy16,196,2,5,en,@kirawontmiss Ratio with Christopher Reeve as the BEST Superman  https://t.co/Mby4TUktTK,[]
1503056285553545220,2022-03-13 12:11:58 Central Daylight Time,draws_henry,400,1,0,en,@lilpulm_ @kirawontmiss drop your superman reading list rn,[]
1503052860749189127,2022-03-13 11:58:22 Central Daylight Time,directorsmiso,369,0,1,en,@kirawontmiss Nah you just hate Superman bro  https://t.co/bp4E8uATlq,[]
1503052122052509697,2022-03-13 11:55:25 Central Daylight Time,qlxke_,147,3,11,en,they can all go in exchange for the live action Nicolas Cage Superman 🙏,[]
1503050739194556419,2022-03-13 11:49:56 Central Daylight Time,croc_block,145,6,23,en,anyways Superman Rebirth by Peter J. Tomasi and Patrick Gleason is one of the best modern comic book runs of all time  https://t.co/v9Yb2ih3z9,[]
1503049365140738053,2022-03-13 11:44:28 Central Daylight Time,sketchedbat,377,2,3,en,@itzf4ncy @kirawontmiss yea Batman my fav but Superman’s either just as good or even better superhero than Batman.,[]
