id,created_at,username,likes_count,replies_count,retweets_count,language,tweet,hashtags
1409975486286020611,2021-06-29 15:42:06 Central Daylight Time,captain_117,7489,189,515,en,Friendly Reminder that MCU Ant-Man will be getting a solo trilogy before DCEU Superman.   Have a great day.  https://t.co/yTOeO3c7BQ,[]
1409937909990539266,2021-06-29 13:12:47 Central Daylight Time,foolishgamers_,27062,87,75,en,@Nihaachu @HBomb94 I AM SUPERMAN! IT'S NOT A COSTUME,[]
1409833591647911941,2021-06-29 06:18:16 Central Daylight Time,nodangerinsoul_,12469,78,1363,it,"Quella volta in cui Thomas un bambino di sette anni veniva preso in giro perché insisteva che Superman fosse suo zio, con le insegnanti che chiamano anche casa perché “le bugie non si dicono”. E l’indomani il bambino viene accompagnato a scuola da Henry Cavill. Suo zio. Superman.  https://t.co/vOjanYYnHN",[]
1409593945336713218,2021-06-28 14:26:00 Central Daylight Time,neiltyson,3063,146,228,en,"Always liked the fact that Superman &amp; Thor are both Space Aliens from their own exoplanets, distinguishing themselves from most other superheroes.  https://t.co/Jh0VuH5FKd",[]
1409583690863108098,2021-06-28 13:45:15 Central Daylight Time,xmagikbus,8484,30,2078,es,Si Lola Índigo puede ser Lola Bunny por una canción no sé porqué no hay una petición oficial de que Bustamante sea Superman.,[]
1409242500246560770,2021-06-27 15:09:29 Central Daylight Time,chiguirebipolar,2322,28,626,es,Superman se niega a venir a Venezuela por miedo a que descubran que es periodista  https://t.co/D3dW2JWxSN  https://t.co/wzaszagXYR,[]
1409183212673306627,2021-06-27 11:13:53 Central Daylight Time,pwrsphone,5088,22,554,pt,O HENRY CAVILL INDO NA ESCOLA DO SOBRINHO SÓ PRA PROVAR QUE ELE REALMENTE ERA O SUPERMAN PUTA QUE PARIU KKKKKKKKKKKKKK  https://t.co/bK2eFgzcoh,[]
1408976434215927815,2021-06-26 21:32:14 Central Daylight Time,averypettybitch,2604,18,560,en,Since Soulja Boy/Big Draco trending tonight. Here is Beyoncé hitting Crank That (Superman) dance. #verzuztv #VERZUZ   https://t.co/AChUzYuA3W,"['verzuztv', 'verzuz']"
1408816882875047936,2021-06-26 10:58:14 Central Daylight Time,_tshegzin,2665,36,663,en,Stokie’s Superman gets better and better with each listen.,[]
1408815681097941011,2021-06-26 10:53:27 Central Daylight Time,saladinahmed,1508,0,528,en,cOMics aRe GeTTiNg tOO pOLitICal iTs kiLLiNg sAlEs  this is from a 1946 comic that had superman and batman on the cover and sold in the hundreds of thousands  https://t.co/GPPh2UcbqQ,[]
1408782904243544075,2021-06-26 08:43:12 Central Daylight Time,overson_,11132,41,78,en,@DudespostingWs This is fake. Where is Superman? That's Clark Kent,[]
1408778879972564992,2021-06-26 08:27:13 Central Daylight Time,_ogbu_,7752,4,89,en,@DudespostingWs His classmates when they see his uncle is actually superman:  https://t.co/DVg634Zg5z,[]
1408693042572300288,2021-06-26 02:46:08 Central Daylight Time,kubishibari_27,7347,5,350,fr,"@lnfosSeriesFR @malhimrg Ptdrrr le gamin il a vraiment une tête à dire "" on va les niquer hein tonton, t'es pas superman hein ? On va voir qui c'est qui avait raison "" il est déterminé",[]
1408627932046712834,2021-06-25 22:27:24 Central Daylight Time,lnfosseriesfr,50754,205,8279,fr,"#INFO Thomas un petit garçon de 7 ans c’est fait gronder par ses professeurs et la direction après avoir affirmé que son oncle était superman. Son oncle , Henry Cavill a donc décidé de l’emmener à l’école.  https://t.co/1VPx9RnfVn",['info']
1408512064759513112,2021-06-25 14:46:59 Central Daylight Time,sportscenter,10406,50,835,en,Devonte Brown goes Superman 😤  https://t.co/dcs38CcEke,[]
1408510151565340674,2021-06-25 14:39:23 Central Daylight Time,juddwinick,2571,30,396,en,"Stolen from Instagram: From @goodnews_movement Henry Cavill confirmed this story and that the teacher told Tom not to tell lies and when that teacher told Tom's mum about his 'tall tales' during pickup--- she responded, ""He's not lying. His uncle IS superman.""  https://t.co/a3moGsMUP7",[]
1408508697912000519,2021-06-25 14:33:37 Central Daylight Time,barstoolsports,4558,30,348,en,SUPERMAN CATCH @BarstoolPack  https://t.co/04Ut926sgf,[]
1408508359599439878,2021-06-25 14:32:16 Central Daylight Time,ncstatebaseball,2849,49,499,es,Superman or @DevonteBrown03?!  📺ESPN2  https://t.co/zDBb0pvBSh,[]
1408434220288995332,2021-06-25 09:37:40 Central Daylight Time,haridzrosli,28881,184,22681,in,"Dulu dulu aku cukup anti dengan geng-geng mat rempit. Yang jenis buat stunt angkat tayar depan, superman, dll.   Selalu aku cakap dalam hati elok accident je depa ni semua. Bikin susah semua manusia atas muka bumi je.",[]
1408388433257668608,2021-06-25 06:35:43 Central Daylight Time,marcoselias1988,5014,18,129,es,@joanitoad Les dije que era superman hijos de puta  https://t.co/ad1VzKYHqs,[]
1408295242973859843,2021-06-25 00:25:25 Central Daylight Time,croc_block,7014,71,726,en,Shang-Chi got Abomination back a decade later meanwhile DC can’t even secure SUPERMAN 💀  https://t.co/cREF9KwvwQ,[]
1408246326702219264,2021-06-24 21:11:02 Central Daylight Time,megatdanial,9446,25,6147,en,Cool story 🤣  #Superman #ZackSnydersSuperman  https://t.co/Ya5LUZ77KS,"['superman', 'zacksnyderssuperman']"
1408163689337954314,2021-06-24 15:42:40 Central Daylight Time,ishaheenafridi,10482,77,560,en,"Wow! Congratulations to Superman @iMRizwanPak - the warrior with the heart of gold. Top performances from Dahani, Imran Khan, @sohaibcricketer, @shani_official, @ImranTahirSA for their excellence. Truly deserving victory for @MultanSultans. #PSL6 #Champions  https://t.co/YWwrcQ5L52","['psl6', 'champions']"
1408147186957918208,2021-06-24 14:37:06 Central Daylight Time,sbastienmlires1,2845,62,394,es,"Mi tío es Superman El tierno gesto que hizo Henry Cavill por su sobrino.   El niño de siete años llegó vestido de Superman al colegio y confesó que su tío era el superhéroe y quería emularlo. La profesora no creyó en sus  palabras.   Horas más tarde, el actor llegó al plantel.  https://t.co/o0dKMmyosE",[]
1408096439402647552,2021-06-24 11:15:26 Central Daylight Time,dr_bizzarro,2114,46,44,es,"@joanitoad - Lo ve señorita cómo mi tío es Superman. + ¿Eh?... Sí Tom, muy bien, matrícula de honor...  https://t.co/8of4mizoRR",[]
1408016563366727685,2021-06-24 05:58:03 Central Daylight Time,joanitoad,110508,419,11062,es,"Parece que un niño de 7 años (Tom) explicó en la escuela que su tío era Superman. Los demás niños se burlaron de él, y la maestra le mandó callar. Su madre hizo entonces una llamada, y pidió a su cuñado que le llevara un día a la escuela. Y Henry Cavill, claro, lo hizo encantado.  https://t.co/7Q9sJ2nT0s",[]
1407902417492922372,2021-06-23 22:24:28 Central Daylight Time,blurayangel,3680,102,704,en,TOM WELLING IS BACK AS SUPERMAN FOR A SMALLVILLE ANIMATED SERIES….SOMEBODY SAAAAAAAVE ME   https://t.co/cQbgkTjIHB,[]
1407784842931195912,2021-06-23 14:37:16 Central Daylight Time,el_fotis,24166,200,2809,es,"La maestra del pequeño Thomas le llamó la atención por vestirse de Superman y decir que era su tío, llamó a su madre para pedirle cuidado con la ficción ya que el no existía, mamá le pidió al Tío Henry que fuera con el sobrino y así probar que no mentía y evitar burlas en clase  https://t.co/kEa1Sp5MwY",[]
1407769472899944452,2021-06-23 13:36:12 Central Daylight Time,aaronbaileyart,3063,34,297,en,1 Like = 1 Prayer for Superman 🙏  https://t.co/AltM8Tcwpf,[]
1407615165219094528,2021-06-23 03:23:02 Central Daylight Time,loulogio_pi,3824,135,333,es,Nunca es mal momento para recordar que esto estuvo a punto de ser una película de Superman.  https://t.co/3OhwJCctfR,[]
1407501043995340801,2021-06-22 19:49:33 Central Daylight Time,gameovergreggy,2281,143,322,en,"I'm sick of KIDS not getting SUPERMAN.   Someone needs to tell them that they're wrong, and fine, I'll be that guy. I'll be the ADULT and stand up for what's right.  https://t.co/xhBZFg9PrL",[]
1407498081483038725,2021-06-22 19:37:47 Central Daylight Time,thealexrossart,3280,53,302,und,#christopherReeve #whatif #kingdomcome #superman #tuesdaymotivations #wednesdaythought #comic @SalAbbinanti  https://t.co/hUQgoVXDkP,"['christopherreeve', 'whatif', 'kingdomcome', 'superman', 'tuesdaymotivations', 'wednesdaythought', 'comic']"
1407464680864497675,2021-06-22 17:25:04 Central Daylight Time,tomtaylormade,5753,172,973,en,"Superman's trending because people are annoyed Bloodsport shot him with a Kryptonite bullet in #TheSuicideSquad? This happened in Bloodsport's first ever appearance, people.  https://t.co/BceBdMxeCA",['thesuicidesquad']
1407464513553764353,2021-06-22 17:24:24 Central Daylight Time,invictossomos,5761,11,307,es,"Y un día, Gigi Buffon volvió al Parma.   SUPERMAN REGRESÓ A CASA.  https://t.co/kDaYHh4i7R",[]
1407415458333085698,2021-06-22 14:09:28 Central Daylight Time,maradonoir,3926,4,423,es,Superman (1978)  https://t.co/nuTDC6P4E6,[]
1407399805182226434,2021-06-22 13:07:16 Central Daylight Time,discussingfilm,2490,69,299,en,The new trailer for #TheSuicideSquad confirms that Bloodsport is in prison for putting Superman in the ICU with a kryptonite bullet.  https://t.co/12PvOTN0AX,['thesuicidesquad']
1407140555474145285,2021-06-21 19:57:06 Central Daylight Time,davidtalaski,4540,30,827,en,Happy Pride🌈! Superman #32 with my #DCPRIDE variant comes out tomorrow! This was the first cover DC commissioned me for and I couldn't think of a better one to get.  I really proud of this piece and honored that I got to do it.  (sketch and final)  https://t.co/VZiOZY7X11,['dcpride']
1407131588320706569,2021-06-21 19:21:28 Central Daylight Time,samparkermetal,3996,203,333,en,Wait…….why is Darkseid at superman’s funeral  https://t.co/ukp42OToBU,[]
1406992841931431945,2021-06-21 10:10:08 Central Daylight Time,swifferstruggle,1705,24,70,en,"at this point if we trend the enchanted x wildest dreams mashup for the re-recordings, taylor's gonna drop a stay stay stay x superman one💀",[]
1406798475367493633,2021-06-20 21:17:48 Central Daylight Time,tvonthespot,3449,186,382,en,Is #HenryCavill is your #Superman?  https://t.co/o4JHRl5Ykq,"['henrycavill', 'superman']"
1406669358764630017,2021-06-20 12:44:44 Central Daylight Time,snyder_cut_240,3165,178,467,en,"The lack of respect towards Henry Cavill and Ben Affleck is astounding.   They clearly don’t want to acknowledge that MAN OF STEEL, BATMAN V SUPERMAN and ZACK SNYDER’S JUSTICE LEAGUE doesn’t exist.  https://t.co/fq3RhWX3II",[]
1406664289088331792,2021-06-20 12:24:35 Central Daylight Time,gagasfilm,4433,52,398,en,Superman and supergirl  https://t.co/hSjoYUpgT2,[]
1406619245149102087,2021-06-20 09:25:36 Central Daylight Time,amagicwriter,3364,46,576,en,Henry Cavill as Superman is the definition of perfect casting.  #RestoreTheSnyderVerse  https://t.co/09L9oxhumD,['restorethesnyderverse']
1406450734233645058,2021-06-19 22:16:00 Central Daylight Time,theoldhollywood,1578,25,311,en,Christopher Reeve and Margot Kidder photographed in New York City during filming of Superman (1978)  https://t.co/ayHaHqS6fs,[]
1406306280147406852,2021-06-19 12:41:59 Central Daylight Time,discussingfilm,2491,39,309,en,"40 years ago today, ‘SUPERMAN II’ released in theaters.  https://t.co/RGtkDgboRU",[]
